,>Airn_rep,>Gm13261_act,>Gm16084_act,>Halr1_rep,>Hottip_act,>Kcnq1ot1_rep,>Morrbid_rep,>Nespas_rep,>Tsix_rep,>Ube3a_rep,>XistAR_act,>Xist_rep
>Airn_rep,0.9999999999999953,0.006026417809587751,0.007324383958990621,0.2619973162623377,0.007132341257416984,0.5203047064216423,0.11036433784092961,-0.043970902168590634,-0.026455405374489812,0.1712914603223404,0.022750694314572082,0.10381798539583066
>Gm13261_act,0.006026417809587751,0.9999999999999998,-0.017244223051829866,-0.005980249595473876,-0.0001990714167707337,-0.04741703662274938,-0.032713928448236965,0.01930078635766315,0.030216161211331867,-0.06400110106199136,0.03900384291380621,-0.03599872391109871
>Gm16084_act,0.007324383958990621,-0.017244223051829866,1.0000000000000004,-0.007534569528104985,0.0010167278311493952,-0.06171104869604447,-0.019368878243322504,0.0315982900504629,-0.02287954080449958,-0.14240239638739746,-0.011122249868591179,-0.08162563225761538
>Halr1_rep,0.2619973162623377,-0.005980249595473876,-0.007534569528104985,0.9999999999999989,-0.014405927667728542,0.25836030565637197,0.07867180932285442,0.006342589260344012,0.05926556179651009,0.21125562946056098,0.0705078107023234,0.06385392115124132
>Hottip_act,0.007132341257416984,-0.0001990714167707337,0.0010167278311493952,-0.014405927667728542,1.0000000000000002,0.017267088066724418,0.0002477055616059874,0.003843281156271002,0.014476480349151031,0.010707188181327817,0.02829412151374472,0.00822601490288085
>Kcnq1ot1_rep,0.5203047064216423,-0.04741703662274938,-0.06171104869604447,0.25836030565637197,0.017267088066724418,1.0000000000000002,0.0740646395075269,-0.08557735056492244,0.018421890969802603,0.5637854571270078,0.10095555315241174,0.26134148575550603
>Morrbid_rep,0.11036433784092961,-0.032713928448236965,-0.019368878243322504,0.07867180932285442,0.0002477055616059874,0.0740646395075269,0.9999999999999968,-0.064774317839711,-0.0766914367508625,0.18306158911369314,-0.07248872477666034,0.12028136170503216
>Nespas_rep,-0.043970902168590634,0.01930078635766315,0.0315982900504629,0.006342589260344012,0.003843281156271002,-0.08557735056492244,-0.064774317839711,1.0000000000000004,0.05378674013657143,-0.10816335089338872,0.022302706107895715,-0.05135283156734821
>Tsix_rep,-0.026455405374489812,0.030216161211331867,-0.02287954080449958,0.05926556179651009,0.014476480349151031,0.018421890969802603,-0.0766914367508625,0.05378674013657143,0.9999999999999994,-0.027918672988546254,0.6433650519973495,-0.018618910729652275
>Ube3a_rep,0.1712914603223404,-0.06400110106199136,-0.14240239638739746,0.21125562946056098,0.010707188181327817,0.5637854571270078,0.18306158911369314,-0.10816335089338872,-0.027918672988546254,0.9999999999999986,0.016432510622821146,0.4207698193456836
>XistAR_act,0.022750694314572082,0.03900384291380621,-0.011122249868591179,0.0705078107023234,0.02829412151374472,0.10095555315241174,-0.07248872477666034,0.022302706107895715,0.6433650519973495,0.016432510622821146,1.0000000000000016,0.00482508246833408
>Xist_rep,0.10381798539583066,-0.03599872391109871,-0.08162563225761538,0.06385392115124132,0.00822601490288085,0.26134148575550603,0.12028136170503216,-0.05135283156734821,-0.018618910729652275,0.4207698193456836,0.00482508246833408,0.9999999999999989
